YEAR,SP,SPEC,CONF,COMMONNAME,SCINAME,SPEC6,CONF6
2016,,DSTK,,Double-striped Thick-knee,Burhinus bistriatus,BURBIS,
2017,,DSTK,,Double-striped Thick-knee,Burhinus bistriatus,BURBIS,
2018,,DSTK,,Double-striped Thick-knee,Burhinus bistriatus,BURBIS,
2019,,DSTK,,Double-striped Thick-knee,Burhinus bistriatus,BURBIS,
2020,,DSTK,,Double-striped Thick-knee,Burhinus bistriatus,BURBIS,
1998,+,DTKI,,Double-toothed Kite,Harpagus bidentatus,,*
2000,+,DTKI,,Double-toothed Kite,Harpagus bidentatus,Harbid,*
2002,,DTKI,,Double-toothed Kite,Harpagus bidentatus,Harbid,
2004,,DTKI,,Double-toothed Kite,Harpagus bidentatus,HARBID,
2006,,DTKI,,Double-toothed Kite,Harpagus bidentatus,HARBID,
2008,,DTKI,,Double-toothed Kite,Harpagus bidentatus,HARBID,
2009,,DTKI,,Double-toothed Kite,Harpagus bidentatus,HARBID,
2010,,DTKI,,Double-toothed Kite,Harpagus bidentatus,HARBID,
2011,,DTKI,,Double-toothed Kite,Harpagus bidentatus,HARBID,
2012,,DTKI,,Double-toothed Kite,Harpagus bidentatus,HARBID,
2013,,DTKI,,Double-toothed Kite,Harpagus bidentatus,HARBID,
2014,,DTKI,,Double-toothed Kite,Harpagus bidentatus,HARBID,
2015,,DTKI,,Double-toothed Kite,Harpagus bidentatus,HARBID,
2016,,DTKI,,Double-toothed Kite,Harpagus bidentatus,HARBID,
2017,,DTKI,,Double-toothed Kite,Harpagus bidentatus,HARBID,
2018,,DTKI,,Double-toothed Kite,Harpagus bidentatus,HARBID,
2019,,DTKI,,Double-toothed Kite,Harpagus bidentatus,HARBID,
2020,,DTKI,,Double-toothed Kite,Harpagus bidentatus,HARBID,
1998,+,DOVE,,Dovekie,Alle alle,,*
2000,+,DOVE,,Dovekie,Alle alle,Allall,*
2002,,DOVE,,Dovekie,Alle alle,Allall,
2004,,DOVE,,Dovekie,Alle alle,ALLALL,
2006,,DOVE,,Dovekie,Alle alle,ALLALL,
2008,,DOVE,,Dovekie,Alle alle,ALLALL,
2009,,DOVE,,Dovekie,Alle alle,ALLALL,
2010,,DOVE,,Dovekie,Alle alle,ALLALL,
2011,,DOVE,,Dovekie,Alle alle,ALLALL,
2012,,DOVE,,Dovekie,Alle alle,ALLALL,
2013,,DOVE,,Dovekie,Alle alle,ALLALL,
2014,,DOVE,,Dovekie,Alle alle,ALLALL,
2015,,DOVE,,Dovekie,Alle alle,ALLALL,
2016,,DOVE,,Dovekie,Alle alle,ALLALL,
2017,,DOVE,,Dovekie,Alle alle,ALLALL,
2018,,DOVE,,Dovekie,Alle alle,ALLALL,
2019,,DOVE,,Dovekie,Alle alle,ALLALL,
2020,,DOVE,,Dovekie,Alle alle,ALLALL,
1998,+,DOWO,,Downy Woodpecker,Picoides pubescens,,*
2000,+,DOWO,,Downy Woodpecker,Picoides pubescens,Picpub,*
2002,,DOWO,,Downy Woodpecker,Picoides pubescens,Picpub,
2004,,DOWO,,Downy Woodpecker,Picoides pubescens,PICPUB,
2006,,DOWO,,Downy Woodpecker,Picoides pubescens,PICPUB,
2008,,DOWO,,Downy Woodpecker,Picoides pubescens,PICPUB,
2009,,DOWO,,Downy Woodpecker,Picoides pubescens,PICPUB,
2010,,DOWO,,Downy Woodpecker,Picoides pubescens,PICPUB,
2011,,DOWO,,Downy Woodpecker,Picoides pubescens,PICPUB,
2012,,DOWO,,Downy Woodpecker,Picoides pubescens,PICPUB,
2013,,DOWO,,Downy Woodpecker,Picoides pubescens,PICPUB,
2014,,DOWO,,Downy Woodpecker,Picoides pubescens,PICPUB,
2015,,DOWO,,Downy Woodpecker,Picoides pubescens,PICPUB,
2016,,DOWO,,Downy Woodpecker,Picoides pubescens,PICPUB,
2017,,DOWO,,Downy Woodpecker,Picoides pubescens,PICPUB,
2018,,DOWO,,Downy Woodpecker,Dryobates pubescens,DRYPUB,
2019,,DOWO,,Downy Woodpecker,Dryobates pubescens,DRYPUB,
2020,,DOWO,,Downy Woodpecker,Dryobates pubescens,DRYPUB,
1998,+,DMAN,,Dull-mantled Antbird,Myrmeciza laemosticta,,*
2000,+,DMAN,,Dull-mantled Antbird,Myrmeciza laemosticta,Myrlae,*
2002,,DMAN,,Dull-mantled Antbird,Myrmeciza laemosticta,Myrlae,
2004,,DMAN,,Dull-mantled Antbird,Myrmeciza laemosticta,MYRLAE,
2006,,DMAN,,Dull-mantled Antbird,Myrmeciza laemosticta,MYRLAE,
2008,,DMAN,,Dull-mantled Antbird,Myrmeciza laemosticta,MYRLAE,
2009,,DMAN,,Dull-mantled Antbird,Myrmeciza laemosticta,MYRLAE,
2010,,DMAN,,Dull-mantled Antbird,Myrmeciza laemosticta,MYRLAE,
2011,,DMAN,,Dull-mantled Antbird,Myrmeciza laemosticta,MYRLAE,
2012,,DMAN,,Dull-mantled Antbird,Myrmeciza laemosticta,MYRLAE,
2013,,DMAN,,Dull-mantled Antbird,Myrmeciza laemosticta,MYRLAE,
2014,,DMAN,,Dull-mantled Antbird,Myrmeciza laemosticta,MYRLAE,
2015,,DMAN,,Dull-mantled Antbird,Myrmeciza laemosticta,MYRLAE,
2016,,DMAN,,Dull-mantled Antbird,Myrmeciza laemosticta,MYRLAE,
2017,,DMAN,,Dull-mantled Antbird,Myrmeciza laemosticta,MYRLAE,
2018,,DMAN,,Dull-mantled Antbird,Myrmeciza laemosticta,MYRLAE,
2019,,DMAN,,Dull-mantled Antbird,Myrmeciza laemosticta,MYRLAE,
2020,,DMAN,,Dull-mantled Antbird,Sipia laemosticta,SIPLAE,
1998,+,DUNL,,Dunlin,Calidris alpina,,*
2000,+,DUNL,,Dunlin,Calidris alpina,Calalp,*
2002,,DUNL,,Dunlin,Calidris alpina,Calalp,
2004,,DUNL,,Dunlin,Calidris alpina,CALALP,
2006,,DUNL,,Dunlin,Calidris alpina,CALALP,
2008,,DUNL,,Dunlin,Calidris alpina,CALALP,
2009,,DUNL,,Dunlin,Calidris alpina,CALALP,
2010,,DUNL,,Dunlin,Calidris alpina,CALALP,
2011,,DUNL,,Dunlin,Calidris alpina,CALALP,
2012,,DUNL,,Dunlin,Calidris alpina,CALALP,
2013,,DUNL,,Dunlin,Calidris alpina,CALALP,
2014,,DUNL,,Dunlin,Calidris alpina,CALALP,
2015,,DUNL,,Dunlin,Calidris alpina,CALALP,
2016,,DUNL,,Dunlin,Calidris alpina,CALALP,
2017,,DUNL,,Dunlin,Calidris alpina,CALALP,
2018,,DUNL,,Dunlin,Calidris alpina,CALALP,
2019,,DUNL,,Dunlin,Calidris alpina,CALALP,
2020,,DUNL,,Dunlin,Calidris alpina,CALALP,
1998,+,DUAN,,Dusky Antbird,Cercomacra tyrannina,,*
2000,+,DUAN,,Dusky Antbird,Cercomacra tyrannina,Certyr,*
2002,,DUAN,,Dusky Antbird,Cercomacra tyrannina,Certyr,
2004,,DUAN,,Dusky Antbird,Cercomacra tyrannina,CERTYR,
2006,,DUAN,,Dusky Antbird,Cercomacra tyrannina,CERTYR,
2008,,DUAN,,Dusky Antbird,Cercomacra tyrannina,CERTYR,
2009,,DUAN,,Dusky Antbird,Cercomacra tyrannina,CERTYR,
2010,,DUAN,,Dusky Antbird,Cercomacra tyrannina,CERTYR,
2011,,DUAN,,Dusky Antbird,Cercomacra tyrannina,CERTYR,
2012,,DUAN,,Dusky Antbird,Cercomacra tyrannina,CERTYR,
2013,,DUAN,,Dusky Antbird,Cercomacra tyrannina,CERTYR,
2014,,DUAN,,Dusky Antbird,Cercomacra tyrannina,CERTYR,
2015,,DUAN,,Dusky Antbird,Cercomacra tyrannina,CERTYR,
2016,,DUAN,,Dusky Antbird,Cercomacroides tyrannina,CERTYR,
2017,,DUAN,,Dusky Antbird,Cercomacroides tyrannina,CERTYR,
2018,,DUAN,,Dusky Antbird,Cercomacroides tyrannina,CERTYR,
2019,,DUAN,,Dusky Antbird,Cercomacroides tyrannina,CERTYR,
2020,,DUAN,,Dusky Antbird,Cercomacroides tyrannina,CERTYR,
1998,+,DUFL,,Dusky Flycatcher,Empidonax oberholseri,,*
2000,+,DUFL,,Dusky Flycatcher,Empidonax oberholseri,Empobe,*
2002,,DUFL,,Dusky Flycatcher,Empidonax oberholseri,Empobe,
2004,,DUFL,,Dusky Flycatcher,Empidonax oberholseri,EMPOBE,
2006,,DUFL,,Dusky Flycatcher,Empidonax oberholseri,EMPOBE,
2008,,DUFL,,Dusky Flycatcher,Empidonax oberholseri,EMPOBE,
2009,,DUFL,,Dusky Flycatcher,Empidonax oberholseri,EMPOBE,
2010,,DUFL,,Dusky Flycatcher,Empidonax oberholseri,EMPOBE,
2011,,DUFL,,Dusky Flycatcher,Empidonax oberholseri,EMPOBE,
2012,,DUFL,,Dusky Flycatcher,Empidonax oberholseri,EMPOBE
2013,,DUFL,,Dusky Flycatcher,Empidonax oberholseri,EMPOBE
2014,,DUFL,,Dusky Flycatcher,Empidonax oberholseri,EMPOBE
2015,,DUFL,,Dusky Flycatcher,Empidonax oberholseri,EMPOBE
2016,,DUFL,,Dusky Flycatcher,Empidonax oberholseri,EMPOBE
2017,,DUFL,,Dusky Flycatcher,Empidonax oberholseri,EMPOBE
2018,,DUFL,,Dusky Flycatcher,Empidonax oberholseri,EMPOBE
2019,,DUFL,,Dusky Flycatcher,Empidonax oberholseri,EMPOBE
2020,,DUFL,,Dusky Flycatcher,Empidonax oberholseri,EMPOBE
2006,,DUGR,,Dusky Grouse,Dendragapus obscurus,DENOBS
2008,,DUGR,,Dusky Grouse,Dendragapus obscurus,DENOBS
2009,,DUGR,,Dusky Grouse,Dendragapus obscurus,DENOBS
2010,,DUGR,,Dusky Grouse,Dendragapus obscurus,DENOBS
2011,,DUGR,,Dusky Grouse,Dendragapus obscurus,DENOBS
2012,,DUGR,,Dusky Grouse,Dendragapus obscurus,DENOBS
2013,,DUGR,,Dusky Grouse,Dendragapus obscurus,DENOBS
2014,,DUGR,,Dusky Grouse,Dendragapus obscurus,DENOBS,
2015,,DUGR,,Dusky Grouse,Dendragapus obscurus,DENOBS,
2016,,DUGR,,Dusky Grouse,Dendragapus obscurus,DENOBS,
2017,,DUGR,,Dusky Grouse,Dendragapus obscurus,DENOBS,
2018,,DUGR,,Dusky Grouse,Dendragapus obscurus,DENOBS,
2019,,DUGR,,Dusky Grouse,Dendragapus obscurus,DENOBS,
2020,,DUGR,,Dusky Grouse,Dendragapus obscurus,DENOBS,
1998,+,DUHU,,Dusky Hummingbird,Cynanthus sordidus,,*
2000,+,DUHU,,Dusky Hummingbird,Cynanthus sordidus,Cynsor,*
2002,,DUHU,,Dusky Hummingbird,Cynanthus sordidus,Cynsor,
2004,,DUHU,,Dusky Hummingbird,Cynanthus sordidus,CYNSOR,
2006,,DUHU,,Dusky Hummingbird,Cynanthus sordidus,CYNSOR,
2008,,DUHU,,Dusky Hummingbird,Cynanthus sordidus,CYNSOR,
2009,,DUHU,,Dusky Hummingbird,Cynanthus sordidus,CYNSOR,
2010,,DUHU,,Dusky Hummingbird,Cynanthus sordidus,CYNSOR,
2011,,DUHU,,Dusky Hummingbird,Cynanthus sordidus,CYNSOR,
2012,,DUHU,,Dusky Hummingbird,Cynanthus sordidus,CYNSOR,
2013,,DUHU,,Dusky Hummingbird,Cynanthus sordidus,CYNSOR,
2014,,DUHU,,Dusky Hummingbird,Cynanthus sordidus,CYNSOR,
2015,,DUHU,,Dusky Hummingbird,Cynanthus sordidus,CYNSOR,
2016,,DUHU,,Dusky Hummingbird,Cynanthus sordidus,CYNSOR,
2017,,DUHU,,Dusky Hummingbird,Cynanthus sordidus,CYNSOR,
2018,,DUHU,,Dusky Hummingbird,Cynanthus sordidus,CYNSOR,
2019,,DUHU,,Dusky Hummingbird,Cynanthus sordidus,CYNSOR,
2020,,DUHU,,Dusky Hummingbird,Phaeoptila sordida,PHASOR,
1998,+,DUNI,,Dusky Nightjar,Caprimulgus saturatus,,*
2000,+,DUNI,,Dusky Nightjar,Caprimulgus saturatus,Capsat,*
2002,,DUNI,,Dusky Nightjar,Caprimulgus saturatus,Capsat,
2004,,DUNI,,Dusky Nightjar,Caprimulgus saturatus,CAPSAT,
2006,,DUNI,,Dusky Nightjar,Caprimulgus saturatus,CAPSAT,
2008,,DUNI,,Dusky Nightjar,Caprimulgus saturatus,CAPSAT,
2009,,DUNI,,Dusky Nightjar,Caprimulgus saturatus,CAPSAT,
2010,,DUNI,,Dusky Nightjar,Caprimulgus saturatus,CAPSAT
2011,,DUNI,,Dusky Nightjar,Caprimulgus saturatus,CAPSAT
2012,,DUNI,,Dusky Nightjar,Antrostomus saturatus,ANTSAT
2013,,DUNI,,Dusky Nightjar,Antrostomus saturatus,ANTSAT
2014,,DUNI,,Dusky Nightjar,Antrostomus saturatus,ANTSAT
2015,,DUNI,,Dusky Nightjar,Antrostomus saturatus,ANTSAT
2016,,DUNI,,Dusky Nightjar,Antrostomus saturatus,ANTSAT
2017,,DUNI,,Dusky Nightjar,Antrostomus saturatus,ANTSAT
2018,,DUNI,,Dusky Nightjar,Antrostomus saturatus,ANTSAT
2019,,DUNI,,Dusky Nightjar,Antrostomus saturatus,ANTSAT
2020,,DUNI,,Dusky Nightjar,Antrostomus saturatus,ANTSAT
2015,,DUPI,,Dusky Pigeon,Patagioenas goodsoni,PATGOO
2016,,DUPI,,Dusky Pigeon,Patagioenas goodsoni,PATGOO
2017,,DUPI,,Dusky Pigeon,Patagioenas goodsoni,PATGOO
2018,,DUPI,,Dusky Pigeon,Patagioenas goodsoni,PATGOO
2019,,DUPI,,Dusky Pigeon,Patagioenas goodsoni,PATGOO
2020,,DUPI,,Dusky Pigeon,Patagioenas goodsoni,PATGOO,
1998,+,DUSS,,Dusky Seaside-Sparrow,Ammodramus m. nigrescens,,*
2000,+,DUSS,,Dusky Seaside-Sparrow,Ammodramus m. nigrescens,,*
2002,+,DUSS,,Dusky Seaside-Sparrow,Ammodramus m. nigrescens,Ammmni,
2004,+,DUSS,,Dusky Seaside-Sparrow,Ammodramus m. nigrescens,AMMMNI,
2006,+,DUSS,,Dusky Seaside-Sparrow,Ammodramus m. nigrescens,AMMMNI,
2008,+,DUSS,,Dusky Seaside-Sparrow,Ammodramus m. nigrescens,AMMMNI,
2009,+,DUSS,,Dusky Seaside-Sparrow,Ammodramus m. nigrescens,AMMMNI,
2010,+,DUSS,,Dusky Seaside-Sparrow,Ammodramus m. nigrescens,AMMMNI,
2011,+,DUSS,,Dusky Seaside-Sparrow,Ammodramus m. nigrescens,AMMMNI,
2012,+,DUSS,,Dusky Seaside-Sparrow,Ammodramus m. nigrescens,AMMMNI,
2013,+,DUSS,,Dusky Seaside-Sparrow,Ammodramus m. nigrescens,AMMMNI,
2014,+,DUSS,,Dusky Seaside-Sparrow,Ammodramus m. nigrescens,AMMMNI,
2015,+,DUSS,,Dusky Seaside-Sparrow,Ammodramus m. nigrescens,AMMMNI,
2016,+,DUSS,,Dusky Seaside-Sparrow,Ammodramus m. nigrescens,AMMMNI,
2017,+,DUSS,,Dusky Seaside-Sparrow,Ammodramus m. nigrescens,AMMMNI,
2018,+,DUSS,,Dusky Seaside-Sparrow,Ammospiza maritima nigrescens,AMMMNI,
2019,+,DUSS,,Dusky Seaside-Sparrow,Ammospiza maritima nigrescens,AMMMNI,
2020,+,DUSS,,Dusky Seaside-Sparrow,Ammospiza maritima nigrescens,AMMMNI,
1998,+,DUTH,,Dusky Thrush,Turdus naumanni,,*
2000,+,DUTH,,Dusky Thrush,Turdus naumanni,Turnau,*
2002,,DUTH,,Dusky Thrush,Turdus naumanni,Turnau,
2004,,DUTH,,Dusky Thrush,Turdus naumanni,TURNAU,
2006,,DUTH,,Dusky Thrush,Turdus naumanni,TURNAU,
2008,,DUTH,,Dusky Thrush,Turdus naumanni,TURNAU,
2009,,DUTH,,Dusky Thrush,Turdus naumanni,TURNAU,
2010,,DUTH,,Dusky Thrush,Turdus naumanni,TURNAU,
2011,,DUTH,,Dusky Thrush,Turdus naumanni,TURNAU,
2012,,DUTH,,Dusky Thrush,Turdus naumanni,TURNAU,
2013,,DUTH,,Dusky Thrush,Turdus naumanni,TURNAU,
2014,,DUTH,,Dusky Thrush,Turdus naumanni,TURNAU,
2015,,DUTH,,Dusky Thrush,Turdus naumanni,TURNAU,
2016,,DUTH,,Dusky Thrush,Turdus naumanni,TURNAU,
2017,,DUTH,,Dusky Thrush,Turdus naumanni,TURNAU,
2018,,DUTH,,Dusky Thrush,Turdus naumanni,TURNAU,
2019,,DUTH,,Dusky Thrush,Turdus naumanni,TURNAU,
2020,,DUTH,,Dusky Thrush,Turdus eunomus,TUREUN,
1998,+,DUWA,,Dusky Warbler,Phylloscopus fuscatus,,*
2000,+,DUWA,,Dusky Warbler,Phylloscopus fuscatus,Phyfus,*
2002,,DUWA,,Dusky Warbler,Phylloscopus fuscatus,Phyfus,
2004,,DUWA,,Dusky Warbler,Phylloscopus fuscatus,PHYFUS,
2006,,DUWA,,Dusky Warbler,Phylloscopus fuscatus,PHYFUS,
2008,,DUWA,,Dusky Warbler,Phylloscopus fuscatus,PHYFUS,
2009,,DUWA,,Dusky Warbler,Phylloscopus fuscatus,PHYFUS,
2010,,DUWA,,Dusky Warbler,Phylloscopus fuscatus,PHYFUS,
2011,,DUWA,,Dusky Warbler,Phylloscopus fuscatus,PHYFUS,
2012,,DUWA,,Dusky Warbler,Phylloscopus fuscatus,PHYFUS,
2013,,DUWA,,Dusky Warbler,Phylloscopus fuscatus,PHYFUS,
2014,,DUWA,,Dusky Warbler,Phylloscopus fuscatus,PHYFUS,
2015,,DUWA,,Dusky Warbler,Phylloscopus fuscatus,PHYFUS,
2016,,DUWA,,Dusky Warbler,Phylloscopus fuscatus,PHYFUS,
2017,,DUWA,,Dusky Warbler,Phylloscopus fuscatus,PHYFUS,
2018,,DUWA,,Dusky Warbler,Phylloscopus fuscatus,PHYFUS,
2019,,DUWA,,Dusky Warbler,Phylloscopus fuscatus,PHYFUS,
2020,,DUWA,,Dusky Warbler,Phylloscopus fuscatus,PHYFUS,
1998,+,DBJA,,Dusky-backed Jacamar,Brachygalba salmoni,,*
2000,+,DBJA,,Dusky-backed Jacamar,Brachygalba salmoni,Brasal,*
2002,,DBJA,,Dusky-backed Jacamar,Brachygalba salmoni,Brasal,
2004,,DBJA,,Dusky-backed Jacamar,Brachygalba salmoni,BRASAL,
2006,,DBJA,,Dusky-backed Jacamar,Brachygalba salmoni,BRASAL,
2008,,DBJA,,Dusky-backed Jacamar,Brachygalba salmoni,BRASAL,
2009,,DBJA,,Dusky-backed Jacamar,Brachygalba salmoni,BRASAL,
2010,,DBJA,,Dusky-backed Jacamar,Brachygalba salmoni,BRASAL,
2011,,DBJA,,Dusky-backed Jacamar,Brachygalba salmoni,BRASAL,
2012,,DBJA,,Dusky-backed Jacamar,Brachygalba salmoni,BRASAL,
2013,,DBJA,,Dusky-backed Jacamar,Brachygalba salmoni,BRASAL,
2014,,DBJA,,Dusky-backed Jacamar,Brachygalba salmoni,BRASAL,
2015,,DBJA,,Dusky-backed Jacamar,Brachygalba salmoni,BRASAL,
2016,,DBJA,,Dusky-backed Jacamar,Brachygalba salmoni,BRASAL,
2017,,DBJA,,Dusky-backed Jacamar,Brachygalba salmoni,BRASAL,
2018,,DBJA,,Dusky-backed Jacamar,Brachygalba salmoni,BRASAL,
2019,,DBJA,,Dusky-backed Jacamar,Brachygalba salmoni,BRASAL,
2020,,DBJA,,Dusky-backed Jacamar,Brachygalba salmoni,BRASAL,
1998,+,DCFL,,Dusky-capped Flycatcher,Myiarchus tuberculifer,,*
2000,+,DCFL,,Dusky-capped Flycatcher,Myiarchus tuberculifer,Myitub,*
2002,,DCFL,,Dusky-capped Flycatcher,Myiarchus tuberculifer,Myitub,
2004,,DCFL,,Dusky-capped Flycatcher,Myiarchus tuberculifer,MYITUB,
2006,,DCFL,,Dusky-capped Flycatcher,Myiarchus tuberculifer,MYITUB,
2008,,DCFL,,Dusky-capped Flycatcher,Myiarchus tuberculifer,MYITUB,
2009,,DCFL,,Dusky-capped Flycatcher,Myiarchus tuberculifer,MYITUB,
2010,,DCFL,,Dusky-capped Flycatcher,Myiarchus tuberculifer,MYITUB,
2011,,DCFL,,Dusky-capped Flycatcher,Myiarchus tuberculifer,MYITUB,
2012,,DCFL,,Dusky-capped Flycatcher,Myiarchus tuberculifer,MYITUB,
2013,,DCFL,,Dusky-capped Flycatcher,Myiarchus tuberculifer,MYITUB,
2014,,DCFL,,Dusky-capped Flycatcher,Myiarchus tuberculifer,MYITUB,
2015,,DCFL,,Dusky-capped Flycatcher,Myiarchus tuberculifer,MYITUB,
2016,,DCFL,,Dusky-capped Flycatcher,Myiarchus tuberculifer,MYITUB,
2017,,DCFL,,Dusky-capped Flycatcher,Myiarchus tuberculifer,MYITUB,
2018,,DCFL,,Dusky-capped Flycatcher,Myiarchus tuberculifer,MYITUB,
2019,,DCFL,,Dusky-capped Flycatcher,Myiarchus tuberculifer,MYITUB,
2020,,DCFL,,Dusky-capped Flycatcher,Myiarchus tuberculifer,MYITUB,
1998,+,DFTA,,Dusky-faced Tanager,Mitrospingus cassinii,,*
2000,+,DFTA,,Dusky-faced Tanager,Mitrospingus cassinii,Mitcas,*
2002,,DFTA,,Dusky-faced Tanager,Mitrospingus cassinii,Mitcas,
2004,,DFTA,,Dusky-faced Tanager,Mitrospingus cassinii,MITCAS,
2006,,DFTA,,Dusky-faced Tanager,Mitrospingus cassinii,MITCAS,
2008,,DFTA,,Dusky-faced Tanager,Mitrospingus cassinii,MITCAS,
2009,,DFTA,,Dusky-faced Tanager,Mitrospingus cassinii,MITCAS,
2010,,DFTA,,Dusky-faced Tanager,Mitrospingus cassinii,MITCAS,
2011,,DFTA,,Dusky-faced Tanager,Mitrospingus cassinii,MITCAS,
2012,,DFTA,,Dusky-faced Tanager,Mitrospingus cassinii,MITCAS,
2013,,DFTA,,Dusky-faced Tanager,Mitrospingus cassinii,MITCAS,
2014,,DFTA,,Dusky-faced Tanager,Mitrospingus cassinii,MITCAS,
2015,,DFTA,,Dusky-faced Tanager,Mitrospingus cassinii,MITCAS,
2016,,DFTA,,Dusky-faced Tanager,Mitrospingus cassinii,MITCAS,
2017,,DFTA,,Dusky-faced Tanager,Mitrospingus cassinii,MITCAS,
2018,,DFTA,,Dusky-faced Tanager,Mitrospingus cassinii,MITCAS,
2019,,DFTA,,Dusky-faced Tanager,Mitrospingus cassinii,MITCAS,
2020,,DFTA,,Dusky-faced Tanager,Mitrospingus cassinii,MITCAS,
2019,,DWCU,,Dwarf Cuckoo,Coccycua pumila,COCPUM,
2020,,DWCU,,Dwarf Cuckoo,Coccycua pumila,COCPUM,
1998,+,DWJA,,Dwarf Jay,Cyanolyca nana,,*
2000,+,DWJA,,Dwarf Jay,Cyanolyca nana,Cyanan,*
2002,,DWJA,,Dwarf Jay,Cyanolyca nana,Cyanan,
2004,,DWJA,,Dwarf Jay,Cyanolyca nana,CYANAN,
2006,,DWJA,,Dwarf Jay,Cyanolyca nana,CYANAN,
2008,,DWJA,,Dwarf Jay,Cyanolyca nana,CYANAN,
2009,,DWJA,,Dwarf Jay,Cyanolyca nana,CYANAN,
2010,,DWJA,,Dwarf Jay,Cyanolyca nana,CYANAN,
2011,,DWJA,,Dwarf Jay,Cyanolyca nana,CYANAN,
2012,,DWJA,,Dwarf Jay,Cyanolyca nana,CYANAN,
2013,,DWJA,,Dwarf Jay,Cyanolyca nana,CYANAN,
2014,,DWJA,,Dwarf Jay,Cyanolyca nana,CYANAN,
2015,,DWJA,,Dwarf Jay,Cyanolyca nana,CYANAN,
2016,,DWJA,,Dwarf Jay,Cyanolyca nana,CYANAN,
2017,,DWJA,,Dwarf Jay,Cyanolyca nana,CYANAN,
2018,,DWJA,,Dwarf Jay,Cyanolyca nana,CYANAN,
2019,,DWJA,,Dwarf Jay,Cyanolyca nana,CYANAN,
2020,,DWJA,,Dwarf Jay,Cyanolyca nanus,CYANAN,
1998,+,DWVI,,Dwarf Vireo,Vireo nelsoni,,*
2000,+,DWVI,,Dwarf Vireo,Vireo nelsoni,Virnel,*
2002,,DWVI,,Dwarf Vireo,Vireo nelsoni,Virnel,
2004,,DWVI,,Dwarf Vireo,Vireo nelsoni,VIRNEL,
2006,,DWVI,,Dwarf Vireo,Vireo nelsoni,VIRNEL,
2008,,DWVI,,Dwarf Vireo,Vireo nelsoni,VIRNEL,
2009,,DWVI,,Dwarf Vireo,Vireo nelsoni,VIRNEL,
2010,,DWVI,,Dwarf Vireo,Vireo nelsoni,VIRNEL,
2011,,DWVI,,Dwarf Vireo,Vireo nelsoni,VIRNEL,
2012,,DWVI,,Dwarf Vireo,Vireo nelsoni,VIRNEL,
2013,,DWVI,,Dwarf Vireo,Vireo nelsoni,VIRNEL,
2014,,DWVI,,Dwarf Vireo,Vireo nelsoni,VIRNEL,
2015,,DWVI,,Dwarf Vireo,Vireo nelsoni,VIRNEL,
2016,,DWVI,,Dwarf Vireo,Vireo nelsoni,VIRNEL,
2017,,DWVI,,Dwarf Vireo,Vireo nelsoni,VIRNEL,
2018,,DWVI,,Dwarf Vireo,Vireo nelsoni,VIRNEL,
2019,,DWVI,,Dwarf Vireo,Vireo nelsoni,VIRNEL,
2020,,DWVI,,Dwarf Vireo,Vireo nelsoni,VIRNEL,
1998,+,EADO,,Eared Dove,Zenaida auriculata,,*
2000,+,EADO,,Eared Dove,Zenaida auriculata,Zenauc,*
2002,,EADO,,Eared Dove,Zenaida auriculata,Zenauc,*
2004,,EADO,,Eared Dove,Zenaida auriculata,ZENAUC,*
2006,,EADO,,Eared Dove,Zenaida auriculata,ZENAUC,*
2008,,EADO,,Eared Dove,Zenaida auriculata,ZENAUC,*
2009,,EADO,,Eared Dove,Zenaida auriculata,ZENAUC,*
2010,,EADO,,Eared Dove,Zenaida auriculata,ZENAUC,*
2011,,EADO,,Eared Dove,Zenaida auriculata,ZENAUC,*
2012,,EADO,,Eared Dove,Zenaida auriculata,ZENAUC,*
2013,,EADO,,Eared Dove,Zenaida auriculata,ZENAUC,*
2014,,EADO,,Eared Dove,Zenaida auriculata,ZENAUC,*
2015,,EADO,,Eared Dove,Zenaida auriculata,ZENAUC,*
2016,,EADO,,Eared Dove,Zenaida auriculata,ZENAUC,*
2017,,EADO,,Eared Dove,Zenaida auriculata,ZENAUC,*
2018,,EADO,,Eared Dove,Zenaida auriculata,ZENAUC,*
2019,,EADO,,Eared Dove,Zenaida auriculata,ZENAUC,*
2020,,EADO,,Eared Dove,Zenaida auriculata,ZENAUC,*
1998,+,EAGR,,Eared Grebe,Podiceps nigricollis,,*
2000,+,EAGR,,Eared Grebe,Podiceps nigricollis,Podnig,*
2002,,EAGR,,Eared Grebe,Podiceps nigricollis,Podnig,
2004,,EAGR,,Eared Grebe,Podiceps nigricollis,PODNIG,
2006,,EAGR,,Eared Grebe,Podiceps nigricollis,PODNIG,
2008,,EAGR,,Eared Grebe,Podiceps nigricollis,PODNIG,
2009,,EAGR,,Eared Grebe,Podiceps nigricollis,PODNIG,
2010,,EAGR,,Eared Grebe,Podiceps nigricollis,PODNIG,
2011,,EAGR,,Eared Grebe,Podiceps nigricollis,PODNIG,
2012,,EAGR,,Eared Grebe,Podiceps nigricollis,PODNIG,
2013,,EAGR,,Eared Grebe,Podiceps nigricollis,PODNIG,
2014,,EAGR,,Eared Grebe,Podiceps nigricollis,PODNIG,
2015,,EAGR,,Eared Grebe,Podiceps nigricollis,PODNIG,
2016,,EAGR,,Eared Grebe,Podiceps nigricollis,PODNIG,
2017,,EAGR,,Eared Grebe,Podiceps nigricollis,PODNIG,
2018,,EAGR,,Eared Grebe,Podiceps nigricollis,PODNIG,
